Source;Target;Type
Carriers' addresses;United States;Undirected
Bible stories, English;Children;Undirected
United States;United States;Undirected
Presbyterian Church;Sermons, English;Undirected
West, Samuel, 1731-1807. Essays on liberty and necessity;Free will and determinism;Undirected
Medicine;Liver;Undirected
Medicine;Bile;Undirected
Liver;Bile;Undirected
Zoology;Animal behavior;Undirected
Zoology;Early printed books;Undirected
Animal behavior;Early printed books;Undirected
Indians of North America;Indians of North America;Undirected
Indians of North America;New England;Undirected
Indians of North America;New England;Undirected
Spellers;English language;Undirected
United States;United States;Undirected
Venus (Planet);Parallax;Undirected
Society of Friends;Education;Undirected
Society of Friends;Education;Undirected
Slavery;Slavery;Undirected
Slavery;Slavery;Undirected
Slavery;Slavery;Undirected
Slavery;Slavery;Undirected
Slavery;Slavery;Undirected
Slavery;Slavery;Undirected
Slavery;Slavery;Undirected
Slavery;Slavery;Undirected
Slavery;Slavery;Undirected
Slavery;Slavery;Undirected
Slavery;Slavery;Undirected
Slavery;Slavery;Undirected
Taylor, John, 1694-1761. Scripture doctrine of original sin;Sin;Undirected
United States. Army;United States. Army. Infantry;Undirected
Forms (Law);Law;Undirected
Medicine;Medicine;Undirected
Scarlatina;Medicine;Undirected
Scarlatina;Medicine;Undirected
Medicine;Medicine;Undirected
Conduct of life;Success;Undirected
Conduct of life;Maxims;Undirected
Conduct of life;Happiness;Undirected
Success;Maxims;Undirected
Success;Happiness;Undirected
Maxims;Success;Undirected
Maxims;Happiness;Undirected
Veterinary medicine;Horses;Undirected
Veterinary medicine;Cattle;Undirected
Horses;Cattle;Undirected
Fever;Medicine;Undirected
Carbon dioxide;Medicine;Undirected
Ready-reckoners;Money;Undirected
Medicine, Popular;Medicine;Undirected
Medicine, Popular;Medicine;Undirected
Medicine;Medicine;Undirected
Story, Daniel, 1755-1804;Ordination sermons;Undirected
Story, Daniel, 1755-1804;Sermons, American;Undirected
Story, Daniel, 1755-1804;Congregational churches;Undirected
Ordination sermons;Sermons, American;Undirected
Ordination sermons;Congregational churches;Undirected
Sermons, American;Ordination sermons;Undirected
Sermons, American;Congregational churches;Undirected
Medicine, Popular;Early printed books;Undirected
Blood;Cardiovascular system;Undirected
Blood;Inflammation;Undirected
Blood;Gunshot wounds;Undirected
Cardiovascular system;Inflammation;Undirected
Cardiovascular system;Gunshot wounds;Undirected
Inflammation;Cardiovascular system;Undirected
Inflammation;Gunshot wounds;Undirected
Architecture;Building;Undirected
Virginia;Virginia;Undirected
Rochambeau, Jean-Baptiste-Donatien de Vimeur, comte de, 1725-1807;United States;Undirected
Rochambeau, Jean-Baptiste-Donatien de Vimeur, comte de, 1725-1807;United States;Undirected
Rochambeau, Jean-Baptiste-Donatien de Vimeur, comte de, 1725-1807;United States;Undirected
United States;United States;Undirected
United States;United States;Undirected
United States;United States;Undirected
United States;United States;Undirected
Indians of North America;Early printed books;Undirected
Hernia;Medicine;Undirected
Cooking, American;Cooking;Undirected
Cooking, American;Early printed books;Undirected
Cooking;Early printed books;Undirected
Tractors, metallic;Medicine;Undirected
Sermons, American;Judgment of God;Undirected
Sexually transmitted diseases;Syphilis;Undirected
Medicine, Popular;Materia medica;Undirected
United States;America;Undirected
United States;West Indies;Undirected
United States;Georgia;Undirected
America;West Indies;Undirected
America;Georgia;Undirected
West Indies;America;Undirected
West Indies;Georgia;Undirected
Enema;Lymphatics;Undirected
